timestamp_utc,module,metric,value
2026-09-04T12:43:39+00:00,Salon,Temperature,25.6
2026-09-04T12:43:39+00:00,Salon,Humidity,51
2026-09-04T12:43:39+00:00,Salon,CO2,608
2026-09-04T12:43:39+00:00,Salon,Noise,35
2026-09-04T12:43:39+00:00,Salon,Pressure,1017.9
2026-09-04T12:43:05+00:00,Extérieur,Temperature,29.1
2026-09-04T12:43:05+00:00,Extérieur,Humidity,42
2026-09-04T12:43:31+00:00,Cuisine,Temperature,25.2
2026-09-04T12:43:31+00:00,Cuisine,Humidity,51
2026-09-04T12:43:31+00:00,Cuisine,CO2,577
2026-09-04T12:43:37+00:00,Anémomètre,WindStrength,11
2026-09-04T12:43:37+00:00,Anémomètre,WindAngle,220
2026-09-04T12:43:37+00:00,Anémomètre,GustStrength,27
2026-09-04T12:43:37+00:00,Anémomètre,GustAngle,232
2026-09-04T12:40:03+00:00,Chambre,Temperature,25.9
2026-09-04T12:40:03+00:00,Chambre,Humidity,49
2026-09-04T12:40:03+00:00,Chambre,CO2,686
2026-09-04T12:40:03+00:00,Chambre,Noise,37
2026-09-04T12:40:03+00:00,Chambre,Pressure,1017.2
2026-09-04T12:40:03+00:00,Chambre,health_idx,0
2026-09-04T12:53:43+00:00,Salon,Temperature,25.7
2026-09-04T12:53:43+00:00,Salon,Humidity,51
2026-09-04T12:53:43+00:00,Salon,CO2,595
2026-09-04T12:53:43+00:00,Salon,Noise,38
2026-09-04T12:53:43+00:00,Salon,Pressure,1017.7
2026-09-04T12:53:20+00:00,Extérieur,Temperature,29.2
2026-09-04T12:53:20+00:00,Extérieur,Humidity,42
2026-09-04T12:52:55+00:00,Cuisine,Temperature,25.2
2026-09-04T12:52:55+00:00,Cuisine,Humidity,51
2026-09-04T12:52:55+00:00,Cuisine,CO2,556
2026-09-04T12:53:40+00:00,Anémomètre,WindStrength,12
2026-09-04T12:53:40+00:00,Anémomètre,WindAngle,223
2026-09-04T12:53:40+00:00,Anémomètre,GustStrength,30
2026-09-04T12:53:40+00:00,Anémomètre,GustAngle,247
2026-09-04T12:50:07+00:00,Chambre,Temperature,26
2026-09-04T12:50:07+00:00,Chambre,Humidity,49
2026-09-04T12:50:07+00:00,Chambre,CO2,734
2026-09-04T12:50:07+00:00,Chambre,Noise,36
2026-09-04T12:50:07+00:00,Chambre,Pressure,1017
2026-09-04T12:50:07+00:00,Chambre,health_idx,0
